"country","productsubcategory","average_cost"
"Monaco","Apartment Rent","5490.31"
"Bermuda","Apartment Rent","3250.00"
"Singapore","Apartment Rent","2734.54"
"Papua New Guinea","Apartment Rent","2462.49"
"South Sudan","Apartment Rent","2350.00"
"Hong Kong","Apartment Rent","2294.53"
"United Arab Emirates","Apartment Rent","2228.55"
"British Virgin Islands","Apartment Rent","1833.33"
"Gibraltar","Apartment Rent","1728.41"
"Nauru","Apartment Rent","1698.95"
"Jersey","Apartment Rent","1665.23"
"Sierra Leone","Apartment Rent","1438.66"
"Iceland","Apartment Rent","1261.42"
"Switzerland","Apartment Rent","1254.33"
"United States","Apartment Rent","1211.97"
"Qatar","Apartment Rent","1203.73"
"Luxembourg","Apartment Rent","1185.81"
"Ireland","Apartment Rent","1183.50"
"Chad","Apartment Rent","1119.63"
"Marshall Islands","Apartment Rent","1116.67"
"Samoa","Apartment Rent","1112.12"
"Isle Of Man","Apartment Rent","1060.88"
"Canada","Apartment Rent","1052.90"
"Bahamas","Apartment Rent","1050.00"
"Liechtenstein","Apartment Rent","1036.18"
"Sint Maarten","Apartment Rent","1011.82"
"Netherlands","Apartment Rent","1006.33"
"Australia","Apartment Rent","1002.63"
"Mali","Apartment Rent","1000.00"
"Vanuatu","Apartment Rent","995.46"
"Israel","Apartment Rent","990.73"
"Congo","Apartment Rent","980.83"
"Denmark","Apartment Rent","977.13"
"Bahrain","Apartment Rent","963.35"
"United Kingdom","Apartment Rent","959.40"
"Norway","Apartment Rent","921.35"
"French Polynesia","Apartment Rent","912.47"
"Liberia","Apartment Rent","911.88"
"Vatican City","Apartment Rent","895.68"
"Seychelles","Apartment Rent","875.37"
"Gabon","Apartment Rent","863.45"
"Guadeloupe","Apartment Rent","843.00"
"Andorra","Apartment Rent","823.49"
"New Zealand","Apartment Rent","820.77"
"New Caledonia","Apartment Rent","809.45"
"Iran","Apartment Rent","806.14"
"Anguilla","Apartment Rent","800.00"
"Maldives","Apartment Rent","786.23"
"Malta","Apartment Rent","783.68"
"Greenland","Apartment Rent","781.74"
"French Guiana","Apartment Rent","777.14"
"Aruba","Apartment Rent","770.54"
"Djibouti","Apartment Rent","763.09"
"Belgium","Apartment Rent","760.35"
"Kuwait","Apartment Rent","757.88"
"Turks And Caicos Islands","Apartment Rent","750.00"
"Sweden","Apartment Rent","730.21"
"France","Apartment Rent","723.02"
"Austria","Apartment Rent","719.70"
"Mozambique","Apartment Rent","716.04"
"Nigeria","Apartment Rent","713.29"
"Germany","Apartment Rent","712.48"
"Finland","Apartment Rent","711.79"
"Tonga","Apartment Rent","711.57"
"Antigua And Barbuda","Apartment Rent","711.57"
"North Korea","Apartment Rent","711.57"
"Comoros","Apartment Rent","711.57"
"Brunei","Apartment Rent","708.33"
"Reunion","Apartment Rent","704.69"
"Timor-Leste","Apartment Rent","680.00"
"El Salvador","Apartment Rent","672.45"
"Spain","Apartment Rent","661.66"
"Cyprus","Apartment Rent","660.05"
"Portugal","Apartment Rent","657.33"
"Martinique","Apartment Rent","656.83"
"Eritrea","Apartment Rent","650.00"
"Armenia","Apartment Rent","649.15"
"Suriname","Apartment Rent","648.20"
"Zambia","Apartment Rent","647.35"
"Turkmenistan","Apartment Rent","642.66"
"Ivory Coast","Apartment Rent","640.26"
"Haiti","Apartment Rent","636.49"
"Cuba","Apartment Rent","634.87"
"Faroe Islands","Apartment Rent","628.63"
"Italy","Apartment Rent","627.99"
"Panama","Apartment Rent","627.44"
"Rwanda","Apartment Rent","619.63"
"Japan","Apartment Rent","616.04"
"Falkland Islands","Apartment Rent","615.00"
"Saint Helena","Apartment Rent","615.00"
"Angola","Apartment Rent","613.33"
"Saint Kitts And Nevis","Apartment Rent","610.53"
"Laos","Apartment Rent","609.86"
"San Marino","Apartment Rent","597.22"
"Czech Republic","Apartment Rent","595.95"
"Puerto Rico","Apartment Rent","588.04"
"Solomon Islands","Apartment Rent","587.24"
"Ghana","Apartment Rent","570.98"
"Senegal","Apartment Rent","570.23"
"Madagascar","Apartment Rent","557.75"
"Uruguay","Apartment Rent","557.65"
"Zimbabwe","Apartment Rent","557.08"
"Lebanon","Apartment Rent","556.98"
"Yemen","Apartment Rent","554.63"
"Paraguay","Apartment Rent","554.53"
"Uganda","Apartment Rent","552.18"
"Niger","Apartment Rent","540.78"
"Guinea","Apartment Rent","540.38"
"Honduras","Apartment Rent","538.04"
"Slovenia","Apartment Rent","526.42"
"Ecuador","Apartment Rent","522.87"
"Guyana","Apartment Rent","517.57"
"China","Apartment Rent","517.03"
"Ethiopia","Apartment Rent","515.84"
"Guatemala","Apartment Rent","513.69"
"Curacao","Apartment Rent","512.92"
"Poland","Apartment Rent","512.91"
"Greece","Apartment Rent","507.86"
"Slovakia","Apartment Rent","507.66"
"Georgia","Apartment Rent","499.72"
"Chile","Apartment Rent","498.73"
"Moldova","Apartment Rent","496.36"
"Cambodia","Apartment Rent","492.73"
"South Korea","Apartment Rent","491.50"
"Syria","Apartment Rent","490.91"
"Kosovo (Disputed Territory)","Apartment Rent","489.28"
"Barbados","Apartment Rent","487.50"
"Bolivia","Apartment Rent","484.81"
"Myanmar","Apartment Rent","481.54"
"Russia","Apartment Rent","479.53"
"Lithuania","Apartment Rent","476.43"
"Libya","Apartment Rent","475.94"
"Trinidad And Tobago","Apartment Rent","474.00"
"Vietnam","Apartment Rent","472.16"
"Mauritius","Apartment Rent","470.34"
"Belarus","Apartment Rent","468.93"
"Nicaragua","Apartment Rent","457.56"
"Cape Verde","Apartment Rent","450.89"
"Hungary","Apartment Rent","449.04"
"Oman","Apartment Rent","439.65"
"Kyrgyzstan","Apartment Rent","439.56"
"Tanzania","Apartment Rent","438.89"
"Malaysia","Apartment Rent","437.85"
"Dominican Republic","Apartment Rent","436.36"
"Taiwan","Apartment Rent","435.07"
"South Africa","Apartment Rent","431.75"
"Montenegro","Apartment Rent","431.21"
"Iraq","Apartment Rent","419.86"
"Belize","Apartment Rent","418.13"
"Jamaica","Apartment Rent","418.03"
"Saint Lucia","Apartment Rent","417.20"
"Gambia","Apartment Rent","416.27"
"Malawi","Apartment Rent","408.13"
"Croatia","Apartment Rent","406.46"
"Mexico","Apartment Rent","404.53"
"Burkina Faso","Apartment Rent","401.61"
"Peru","Apartment Rent","400.35"
"Namibia","Apartment Rent","398.44"
"Thailand","Apartment Rent","396.73"
"Tajikistan","Apartment Rent","386.48"
"Jordan","Apartment Rent","381.26"
"Philippines","Apartment Rent","380.13"
"Costa Rica","Apartment Rent","379.58"
"Montserrat","Apartment Rent","379.27"
"Argentina","Apartment Rent","378.59"
"Botswana","Apartment Rent","374.27"
"Somalia","Apartment Rent","372.75"
"Uzbekistan","Apartment Rent","369.51"
"Venezuela","Apartment Rent","366.48"
"Fiji","Apartment Rent","366.29"
"Sri Lanka","Apartment Rent","362.78"
"Bulgaria","Apartment Rent","361.79"
"Saudi Arabia","Apartment Rent","360.55"
"Brazil","Apartment Rent","359.14"
"Latvia","Apartment Rent","358.60"
"Romania","Apartment Rent","357.92"
"Indonesia","Apartment Rent","355.83"
"Guinea-Bissau","Apartment Rent","346.16"
"Dominica","Apartment Rent","345.88"
"Saint Vincent And The Grenadines","Apartment Rent","342.27"
"Albania","Apartment Rent","339.51"
"Estonia","Apartment Rent","338.73"
"Bhutan","Apartment Rent","331.35"
"Ukraine","Apartment Rent","329.98"
"Pakistan","Apartment Rent","319.07"
"Kazakhstan","Apartment Rent","309.89"
"Azerbaijan","Apartment Rent","302.74"
"Sudan","Apartment Rent","293.96"
"Afghanistan","Apartment Rent","292.07"
"North Macedonia","Apartment Rent","289.92"
"Lesotho","Apartment Rent","285.13"
"Morocco","Apartment Rent","284.73"
"Burundi","Apartment Rent","282.62"
"Equatorial Guinea","Apartment Rent","281.13"
"Mauritania","Apartment Rent","280.67"
"Swaziland","Apartment Rent","278.48"
"Kenya","Apartment Rent","264.91"
"Togo","Apartment Rent","259.04"
"Egypt","Apartment Rent","253.05"
