"productcategory","country","productsubcategory","average_cost"
"food","Egypt","Groceries","0.99"
"food","Colombia","Groceries","1.20"
"food","Pakistan","Groceries","1.21"
"food","Turkey","Groceries","1.31"
"food","Azerbaijan","Groceries","1.32"
"food","Afghanistan","Groceries","1.43"
"food","Nepal","Groceries","1.46"
"food","India","Groceries","1.49"
"food","Syria","Groceries","1.54"
"food","Lesotho","Groceries","1.55"
"food","Iraq","Groceries","1.56"
"food","Bangladesh","Groceries","1.57"
"food","Tunisia","Groceries","1.58"
"food","Paraguay","Groceries","1.59"
"food","Ukraine","Groceries","1.59"
"food","Gambia","Groceries","1.67"
"food","Libya","Groceries","1.67"
"food","Morocco","Groceries","1.67"
"food","Uzbekistan","Groceries","1.68"
"food","North Macedonia","Groceries","1.69"
"food","Benin","Groceries","1.74"
"food","Cape Verde","Groceries","1.74"
"food","Moldova","Groceries","1.76"
"food","Ghana","Groceries","1.77"
"food","Bhutan","Groceries","1.78"
"food","Kazakhstan","Groceries","1.79"
"food","Algeria","Groceries","1.81"
"food","Kuwait","Groceries","1.81"
"food","Sri Lanka","Groceries","1.81"
"food","Albania","Groceries","1.82"
"food","Peru","Groceries","1.85"
"food","Kyrgyzstan","Groceries","1.86"
"food","Tajikistan","Groceries","1.86"
"food","Poland","Groceries","1.87"
"food","Serbia","Groceries","1.87"
"food","Swaziland","Groceries","1.87"
"food","Rwanda","Groceries","1.92"
"food","South Africa","Groceries","1.93"
"food","Romania","Groceries","1.94"
"food","Belarus","Groceries","1.95"
"food","Ecuador","Groceries","1.98"
"food","Montenegro","Groceries","1.98"
"food","Bolivia","Groceries","1.99"
"food","Mongolia","Groceries","1.99"
"food","Namibia","Groceries","2.00"
"food","Uganda","Groceries","2.02"
"food","Hungary","Groceries","2.04"
"food","Georgia","Groceries","2.05"
"food","Brazil","Groceries","2.06"
"food","Honduras","Groceries","2.07"
"food","Philippines","Groceries","2.07"
"food","Argentina","Groceries","2.10"
"food","Bosnia And Herzegovina","Groceries","2.11"
"food","Indonesia","Groceries","2.11"
"food","Venezuela","Groceries","2.11"
"food","Nicaragua","Groceries","2.12"
"food","Kosovo (Disputed Territory)","Groceries","2.14"
"food","Botswana","Groceries","2.17"
"food","Nigeria","Groceries","2.19"
"food","Iran","Groceries","2.21"
"food","Somalia","Groceries","2.21"
"food","Armenia","Groceries","2.22"
