"country","productcategory","productsubcategory","servicesubscriptiontype","average_cost"
"Mongolia","transportation","Public Transportation","Monthly","1.37"
"Sierra Leone","transportation","Public Transportation","Monthly","2.33"
"British Virgin Islands","transportation","Public Transportation","Monthly","2.50"
"Niger","transportation","Public Transportation","Monthly","6.19"
"Gibraltar","transportation","Public Transportation","Monthly","6.89"
"Burkina Faso","transportation","Public Transportation","Monthly","7.39"
"Gambia","transportation","Public Transportation","Monthly","7.40"
"Burundi","transportation","Public Transportation","Monthly","7.41"
"Guinea","transportation","Public Transportation","Monthly","7.95"
"Dominica","transportation","Public Transportation","Monthly","8.05"
"Luxembourg","transportation","Public Transportation","Monthly","8.53"
"Tunisia","transportation","Public Transportation","Monthly","8.72"
"Egypt","transportation","Public Transportation","Monthly","9.21"
"Kyrgyzstan","transportation","Public Transportation","Monthly","9.39"
"Ukraine","transportation","Public Transportation","Monthly","9.57"
"India","transportation","Public Transportation","Monthly","10.13"
"Estonia","transportation","Public Transportation","Monthly","10.58"
"Ethiopia","transportation","Public Transportation","Monthly","10.77"
"Albania","transportation","Public Transportation","Monthly","11.76"
"Seychelles","transportation","Public Transportation","Monthly","11.87"
"Turkey","transportation","Public Transportation","Monthly","12.30"
"Uzbekistan","transportation","Public Transportation","Monthly","12.52"
"Nepal","transportation","Public Transportation","Monthly","12.59"
"Pakistan","transportation","Public Transportation","Monthly","12.64"
"Morocco","transportation","Public Transportation","Monthly","12.83"
"Tajikistan","transportation","Public Transportation","Monthly","12.88"
"Romania","transportation","Public Transportation","Monthly","12.96"
"Poland","transportation","Public Transportation","Monthly","12.97"
"Kazakhstan","transportation","Public Transportation","Monthly","13.02"
"Azerbaijan","transportation","Public Transportation","Monthly","13.09"
"Guatemala","transportation","Public Transportation","Monthly","13.71"
"French Polynesia","transportation","Public Transportation","Monthly","13.73"
"Bolivia","transportation","Public Transportation","Monthly","13.85"
"Algeria","transportation","Public Transportation","Monthly","14.03"
"Bulgaria","transportation","Public Transportation","Monthly","14.21"
"Colombia","transportation","Public Transportation","Monthly","14.43"
"Bosnia And Herzegovina","transportation","Public Transportation","Monthly","14.67"
"Czech Republic","transportation","Public Transportation","Monthly","14.68"
"Afghanistan","transportation","Public Transportation","Monthly","14.82"
"Belarus","transportation","Public Transportation","Monthly","14.84"
"Mexico","transportation","Public Transportation","Monthly","14.89"
