"city","country","global_cost_index"
"Como","Italy","126.6704713928869225"
"Treviglio","Italy","126.5107041690367813"
"Milan","Italy","125.6858745916420409"
"Siena","Italy","123.4658744782773073"
"Ravenna","Italy","122.3423491093973305"
"Terracina","Italy","121.2249051935656909"
"Imola","Italy","121.1901119509392211"
"Aosta","Italy","121.0833578194912345"
"Reggio Emilia","Italy","120.8910763835046473"
"Florence","Italy","120.8772894790113325"
"Lucca","Italy","120.7533585476207362"
"Genoa","Italy","120.5089643292012404"
"Rome","Italy","120.3110831501542365"
"Pesaro","Italy","119.6893558010945647"
"Vicenza","Italy","119.2660984739269595"
"Bergamo","Italy","119.2145960596968253"
"Villacidro","Italy","119.0899078426969611"
"Ancona","Italy","119.0200653272571136"
"Trieste","Italy","118.9257709467283580"
"Parma","Italy","118.5024734218311793"
"Civitavecchia","Italy","118.4828310407069209"
"Prato","Italy","118.3434930982922949"
"Modena","Italy","118.2851489647354624"
"Piacenza","Italy","118.2631633342304856"
"Bologna","Italy","118.2418747302098349"
"Pisa","Italy","118.1299364713436600"
"Pescara","Italy","117.9780172233394258"
"Frascati","Italy","117.6955348794939415"
"Brescia","Italy","117.5818566730568564"
"Stradella","Italy","117.4049915526056371"
"Venice","Italy","117.3884095881277233"
"Monza","Italy","117.1131526796223402"
"Sassuolo","Italy","116.9103382345690358"
"Trento","Italy","116.8537005612348267"
"Conegliano","Italy","116.3511020024921755"
"San Dona di Piave","Italy","116.2577749111675933"
"Arese","Italy","116.1217368018086093"
"Cesena","Italy","115.9453602639134622"
"Treviso","Italy","115.8864261857991156"
"La Spezia","Italy","115.7971492523511020"
"Viterbo","Italy","115.6762568910064440"
"San Martino Buon Albergo","Italy","115.6048856814821378"
"Lodi","Italy","115.1598851619656576"
"Matera","Italy","115.0438338520530240"
"Siniscola","Italy","114.6066810059150327"
"Arezzo","Italy","114.5985799676109393"
"Cagliari","Italy","114.5538234250573376"
"Vigevano","Italy","114.5089426774735378"
"Lecco","Italy","114.4597794180283745"
"Rimini","Italy","114.2811444526064767"
"Mestre","Italy","114.2667786471216447"
"Cava de' Tirreni","Italy","114.2493194369515516"
"San Giorgio a Cremano","Italy","114.0892586526213095"
"Pordenone","Italy","114.0869545207687907"
"Verona","Italy","114.0771410819349853"
"Crotone","Italy","114.0463338429350516"
"Canegrate","Italy","113.9771742166387324"
"Voghera","Italy","113.8985147187684011"
"Cittadella","Italy","113.8304400710917931"
"Carrara","Italy","113.7450523442238838"
"Crema","Italy","113.4819576488918418"
"Fano","Italy","113.2350647774778591"
"Turin","Italy","113.1434602441680587"
"Padova","Italy","113.1253189258054098"
"Novara","Italy","113.0648751192107473"
"Livigno","Italy","112.8599490780706356"
"Santa Margherita Ligure","Italy","112.8544412555741187"
"Pavia","Italy","112.6615436681953298"
"Potenza","Italy","112.6240764275048011"
"Giaveno","Italy","112.4490284428559596"
"Falconara Marittima","Italy","112.3726353128116556"
"Lipari","Italy","112.3482850426445691"
"Citta di Castello","Italy","112.3482850426445691"
"Fidenza","Italy","112.3482850426445691"
"Castrolibero","Italy","112.3482850426445691"
"Iglesias","Italy","112.3482850426445691"
"Bertinoro","Italy","112.3482850426445691"
"Cortina d'Ampezzo","Italy","112.3482850426445691"
"Civitanova Marche","Italy","112.2120592268152584"
"Levanto","Italy","112.1674055446049669"
"Nuoro","Italy","112.0939452494584502"
"Portico di Caserta","Italy","112.0530003910362055"
"Capriate San Gervasio","Italy","111.9797695563164965"
"Terni","Italy","111.7718952306358944"
"Pozzuoli","Italy","111.6331035744364987"
"Pinerolo","Italy","111.5951799114986335"
"Grosseto","Italy","111.5788134657241195"
"Gallarate","Italy","111.4411521777834984"
"Savona","Italy","111.3372045458677704"
"Mirano","Italy","111.3352646873781258"
"Casandrino","Italy","111.0292548604277562"
"Capannori","Italy","110.7413865806168840"
"Capua","Italy","110.7312372660077627"
"Macerata","Italy","110.6017505335354536"
"Cosenza","Italy","110.5988152583293736"
"Sondrio","Italy","110.4249616437814436"
"Asti","Italy","110.3519795488599329"
"Vercelli","Italy","110.0285196556852260"
"Busto Arsizio","Italy","109.9479882424694949"
"Bucine","Italy","109.8451364188178898"
