Job title,Location,Company Industry,Experience Level,Salary Amount,Salary Currency,Conversion Ratio,Reference Year
Data Scientist,True,"Energy, oil and gas",Junior,140000.0,USD,1.0,2020
Product Analyst,True,Ciber Security,Senior,86000.0,USD,1.0,2020
Data Scientist,True,Ciber Security,Senior,85000.0,USD,1.0,2020
ML Engineer,True,Tech Company,Mid,240000.0,USD,1.0,2020
Data Science Consultant,True,Tech Company,Mid,65000.0,USD,1.0,2020
Analytics Manager,True,Big Tech,Senior,120000.0,USD,1.0,2020
Data Scientist,True,,,,,,2020
Data Scientist,True,Tech Company,Intership,135000.0,USD,1.0,2020
Data Scientist,True,Tech Company,Senior,74000.0,USD,1.0,2020
Data Scientist,True,"Education, Research ad University",Junior,93000.0,USD,1.0,2020
Data Scientist,True,Big Tech,Intership,140000.0,USD,1.0,2020
Informatics Manager,True,Healthcare,Mid,160000.0,USD,1.0,2020
Analytics Manager,True,Travelling and Enterteinment,Senior,107000.0,USD,1.0,2020
Data Scientist,True,,,,,,2020
Data Scientist,True,Big Tech,Not specified,375000.0,USD,1.0,2020
ML Engineer,True,Retail,Junior,120000.0,USD,1.0,2020
Data Scientist,True,Finance,Junior,400000.0,USD,1.0,2020
Data Scientist,True,Finance,Intership,91000.0,USD,1.0,2020
ML Engineer,True,"Marketing, Media and Advertising",,480000.0,DKK,0.14585547,2020
Data Scientist,True,Finance,Not specified,98000.0,USD,1.0,2020
Data Scientist,True,"Marketing, Media and Advertising",Intership,185000.0,USD,1.0,2020
Data Scientist,True,Consulting,,1600000.0,INR,0.011962834,2020
Data Analyst,True,Finance,Not specified,70000.0,USD,1.0,2020
Quantitative Researcher,True,Small Tech,Mid,90000.0,USD,1.0,2020
Data Scientist,True,Warehousing and Logistic,,140000.0,USD,1.0,2020
Data Scientist,True,Healthcare,,46000.0,USD,1.0,2020
Data Scientist,True,Finance,Intership,125000.0,USD,1.0,2020
Data Scientist,True,Ecommerce,Not specified,120000.0,USD,1.0,2020
Data Scientist,True,StartUp,Junior,160000.0,USD,1.0,2020
Data Scientist,True,StartUp,Junior,125000.0,USD,1.0,2020
Data Analyst,True,Tech Company,Senior,130000.0,USD,1.0,2020
Data Scientist,True,Tech Company,Intership,96000.0,USD,1.0,2020
Data Scientist,True,Tech Company,Not specified,108500.0,USD,1.0,2020
Data Scientist,True,StartUp,Mid,125000.0,USD,1.0,2020
Data Scientist,True,Tech Company,Not specified,178000.0,USD,1.0,2020
Data Scientist,True,Finance,Junior,123500.0,USD,1.0,2020
Data Scientist,True,"Education, Research ad University",Junior,87000.0,USD,1.0,2020
Analytics Manager,True,Manufactoring,,70000.0,USD,1.0,2020
Analytics Manager,True,,Senior,,,,2020
Decision Scientist,True,Tech Company,Senior,105000.0,USD,1.0,2020
Data Science Manager,True,Consulting,Junior,170000.0,USD,1.0,2020
NLP Engineer,True,Healthcare,Intership,110000.0,USD,1.0,2020
,True,Healthcare,,110000.0,USD,1.0,2020
Data Scientist,True,Finance,Senior,37000.0,USD,1.0,2020
Data Scientist,True,Finance,Not specified,36000.0,USD,1.0,2020
BI Analyst,True,Consulting,Not specified,90000.0,USD,1.0,2020
