Job title,Salary amount,Salary currency,Conversion ratio,Country,City,State,Reference year,Remote ratio,Company industry,Company size,Education,Experience level,Employment type
Data Scientist,140000.0,USD,1.0,US,Houston,TX,2020,,"Energy, oil and gas",,MSc in STEM,EN,
Analytics Manager,120000.0,USD,1.0,CA,Cariboo,BC V0L 1H0,2020,,Big Tech,,BSc in STEM,SE,
Data Scientist,135000.0,USD,1.0,US,Chicago,IL,2020,,Tech Company,,PhD,IS,
Data Scientist,74000.0,USD,1.0,US,Midwest City,OK,2020,,Tech Company,,MSc not specified,SE,
Data Scientist,93000.0,USD,1.0,US,Arlington,VA,2020,,"Education, Research ad University",,MSc in STEM,EN,
Data Scientist,140000.0,USD,1.0,US,San Francisco Bay Area,CA,2020,,Big Tech,,MSc in STEM,IS,
Informatics Manager,160000.0,USD,1.0,US,New York,NY,2020,,Healthcare,,PhD,MI,
Analytics Manager,107000.0,USD,1.0,US,Chicago,IL,2020,,Travelling and Enterteinment,,MSc in STEM,SE,
Data Scientist,375000.0,USD,1.0,US,West Coast,,2020,,Big Tech,,MSc not specified,,
ML Engineer,120000.0,USD,1.0,CA,Greater Toronto Area,ON,2020,,Retail,,MSc in STEM,EN,
Data Scientist,400000.0,USD,1.0,NL,,,2020,,Finance,,MSc in STEM,EN,
Data Scientist,91000.0,USD,1.0,US,Dallas,TX,2020,,Finance,,BSc in STEM,IS,
ML Engineer,480000.0,DKK,0.14585547,US,Dallas,TX,2020,,"Marketing, Media and Advertising",,MSc in STEM,,
Data Scientist,98000.0,USD,1.0,US,Boston,MA,2020,,Finance,,MSc in STEM,,
Data Scientist,185000.0,USD,1.0,US,New York,NY,2020,,"Marketing, Media and Advertising",,MSc in STEM,IS,
Data Scientist,1600000.0,INR,0.011962834,IN,,,2020,,Consulting,,BSc in STEM,,
Data Analyst,70000.0,USD,1.0,US,Detroit,MI,2020,,Finance,,BSc in Others,,
Data Scientist,140000.0,USD,1.0,US,San Francisco,CA,2020,,Warehousing and Logistic,,,,
Data Scientist,46000.0,USD,1.0,CZ,,,2020,,Healthcare,,MSc in STEM,,
Data Scientist,125000.0,USD,1.0,US,Midwestern United States,,2020,,Finance,,MSc in STEM,IS,
Data Scientist,120000.0,USD,1.0,US,New York,NY,2020,,Ecommerce,,PhD,,
Data Scientist,160000.0,USD,1.0,US,San Francisco Bay Area,CA,2020,,StartUp,,PhD,EN,
Data Analyst,130000.0,USD,1.0,US,,Washington,2020,,Tech Company,,BSc in STEM,SE,
Data Scientist,96000.0,USD,1.0,US,Chicago,IL,2020,,Tech Company,,MSc in STEM,IS,
Data Scientist,108500.0,USD,1.0,US,,,2020,,Tech Company,,MBA,,
